step,elapsed_seconds,sensor_id,congestion
2,600,1203050,0.0
2,600,1203057,0.0
2,600,1203071,0.0
2,600,1203076,0.0
2,600,1203082,0.0
2,600,1203084,0.0
2,600,1203090,0.0
2,600,1203095,0.0
2,600,1203110,0.0
2,600,1203124,0.0
2,600,1203136,0.0
2,600,1203148,0.0
2,600,1203172,0.0
2,600,1203184,0.0
2,600,1203188,0.0
2,600,1203206,0.0
2,600,1203221,0.0
2,600,1203239,0.0
2,600,1203254,0.0
2,600,1203266,0.0
2,600,1203271,0.0
2,600,1203284,0.0
2,600,1203288,0.0
2,600,1203303,0.0
2,600,1203317,0.0
2,600,1203331,0.0
2,600,1203342,0.0
2,600,1203361,0.0
2,600,1203387,0.0
2,600,1203400,0.0
2,600,1203428,0.0
2,600,1203440,0.0
2,600,1203468,0.0
2,600,1203481,0.0
2,600,1203495,0.0
2,600,1203506,0.0
2,600,1203513,0.0
2,600,1203524,0.0
2,600,1203536,0.0
2,600,1203549,0.0
2,600,1203561,0.0
2,600,1203573,0.0
2,600,1203589,0.0
3,900,1201054,0.551367998123169
3,900,1201066,0.21819931268692017
3,900,1201076,0.3230557441711426
3,900,1201087,0.23846489191055298
3,900,1201100,0.0
3,900,1201112,0.21004536747932434
3,900,1201118,0.16188573837280273
3,900,1201125,0.07380856573581696
3,900,1201145,0.012130250222980976
3,900,1201159,0.21448878943920135
3,900,1201171,0.027292810380458832
3,900,1201185,0.045383553951978683
3,900,1201197,0.0
3,900,1201211,0.0423138290643692
3,900,1201217,0.00022958383488003165
3,900,1201222,0.024208731949329376
3,900,1201240,0.0021105322521179914
3,900,1201254,0.004112704191356897
3,900,1201270,0.0
3,900,1201283,0.003405137686058879
3,900,1201292,0.0
3,900,1201298,0.0017341161146759987
3,900,1201315,0.0
3,900,1201333,0.0002305781963514164
3,900,1201350,0.0
3,900,1201365,0.0001680378773016855
3,900,1201382,0.0
3,900,1201399,0.0
3,900,1201406,0.0
3,900,1201410,0.0
3,900,1201419,0.0
3,900,1201430,0.0
3,900,1201453,0.0
3,900,1201469,0.0
3,900,1201481,0.0
3,900,1201497,0.0
3,900,1201510,0.0
3,900,1201525,0.0
3,900,1201541,0.0
3,900,1201558,0.0
3,900,1201589,0.0
3,900,1201606,0.0
3,900,1201620,0.0
3,900,1201637,0.0
3,900,1201653,0.0
3,900,1201671,0.0
3,900,1201687,0.0
3,900,1201705,0.0
3,900,1201719,0.0
3,900,1201735,0.0
3,900,1201751,0.0
3,900,1201767,0.0
3,900,1201787,0.0
3,900,1201805,0.0
3,900,1201823,0.0
3,900,1201839,0.0
3,900,1201853,0.0
3,900,1201867,0.0
3,900,1201883,0.0
3,900,1201899,0.0
3,900,1201911,0.0
3,900,1201923,0.0
3,900,1201941,0.0
3,900,1201959,0.0
3,900,1201969,0.0
3,900,1201977,0.0
3,900,1201985,0.0
3,900,1201987,0.0
3,900,1201998,0.0
3,900,1202011,0.0
3,900,1202024,0.0
3,900,1202040,0.0
3,900,1202053,0.0
3,900,1202067,0.0
3,900,1202078,0.0
3,900,1202093,0.0
3,900,1202105,0.0
3,900,1202118,0.0
3,900,1202132,0.0
3,900,1202146,0.0
3,900,1202160,0.0
3,900,1202172,0.0
3,900,1202186,0.0
3,900,1202201,0.0
3,900,1202215,0.0
3,900,1202230,0.0
3,900,1202248,0.0
3,900,1202263,0.0
3,900,1202278,0.0
3,900,1202290,0.0
3,900,1202308,0.0
3,900,1202322,0.0
3,900,1202337,0.0
3,900,1202353,0.0
3,900,1202365,0.0
3,900,1202373,0.0
3,900,1202380,0.0
3,900,1202394,0.0
3,900,1202408,0.0
3,900,1202422,0.0
3,900,1202436,0.0
3,900,1202451,0.0
3,900,1202464,0.0
3,900,1202475,0.0
3,900,1202522,0.0
3,900,1202527,0.0
3,900,1202537,0.0
3,900,1202549,0.0
3,900,1202564,0.0
3,900,1202574,0.0
3,900,1202590,0.0
3,900,1202595,0.0
3,900,1202599,0.0
3,900,1202610,0.0
3,900,1202614,0.0
3,900,1202627,0.0
3,900,1202631,0.0
3,900,1202648,0.0
3,900,1202663,0.0
3,900,1202676,0.0
3,900,1202691,0.0
3,900,1202701,0.0
3,900,1202705,0.0
3,900,1202720,0.0
3,900,1202724,0.0
3,900,1202738,0.0
3,900,1202742,0.0
3,900,1202753,0.0
3,900,1202766,0.0
3,900,1202779,0.0
3,900,1202785,0.0
3,900,1202789,0.0
3,900,1202803,0.0
3,900,1202814,0.0
3,900,1202827,0.0
3,900,1202840,0.0
3,900,1202844,0.0
3,900,1202855,0.0
3,900,1202859,0.0
3,900,1202872,0.0
3,900,1202885,0.0
3,900,1202901,0.0
3,900,1202912,0.0
3,900,1202917,0.0
3,900,1202921,0.0
3,900,1202929,0.0
3,900,1202938,0.0
3,900,1202949,0.0
3,900,1202960,0.0
3,900,1202964,0.0
3,900,1202977,0.0
3,900,1202981,0.0
3,900,1202993,0.0
3,900,1203016,0.0
3,900,1203021,0.0
3,900,1203035,0.0
3,900,1203040,0.0
3,900,1203050,0.0
3,900,1203057,0.0
3,900,1203071,0.0
3,900,1203076,0.0
3,900,1203082,0.0
3,900,1203084,0.0
3,900,1203090,0.0
3,900,1203095,0.0
3,900,1203110,0.0
3,900,1203124,0.0
3,900,1203136,0.0
3,900,1203148,0.0
3,900,1203172,0.0
3,900,1203184,0.0
3,900,1203188,0.0
3,900,1203206,0.0
3,900,1203221,0.0
3,900,1203239,0.0
3,900,1203254,0.0
3,900,1203266,0.0
3,900,1203271,0.0
3,900,1203284,0.0
3,900,1203288,0.0
3,900,1203303,0.0
3,900,1203317,0.0
3,900,1203331,0.0
3,900,1203342,0.0
3,900,1203361,0.0
3,900,1203387,0.0
3,900,1203400,0.0
3,900,1203428,0.0
3,900,1203440,0.0
3,900,1203468,0.0
3,900,1203481,0.0
3,900,1203495,0.0
3,900,1203506,0.0
3,900,1203513,0.0
3,900,1203524,0.0
3,900,1203536,0.0
3,900,1203549,0.0
3,900,1203561,0.0
3,900,1203573,0.0
3,900,1203589,0.0
4,1200,1201054,0.452121764421463
4,1200,1201066,0.2461433708667755
4,1200,1201076,0.4406869411468506
4,1200,1201087,0.3069930970668793
4,1200,1201100,0.0
4,1200,1201112,0.2368910014629364
4,1200,1201118,0.2145945429801941
4,1200,1201125,0.08069735765457153
4,1200,1201145,0.02633555233478546
4,1200,1201159,0.24549877643585205
4,1200,1201171,0.04612862318754196
4,1200,1201185,0.07713034749031067
4,1200,1201197,0.0003239439975004643
4,1200,1201211,0.07765524089336395
4,1200,1201217,0.0015052416129037738
4,1200,1201222,0.05218975245952606
4,1200,1201240,0.007876378484070301
4,1200,1201254,0.015133503824472427
4,1200,1201270,3.6287339753471315e-05
4,1200,1201283,0.013296553865075111
4,1200,1201292,0.00016127998242154717
4,1200,1201298,0.0077551016584038734
4,1200,1201315,0.0006088274531066418
4,1200,1201333,0.0020185711327940226
4,1200,1201350,1.5169661310210358e-05
4,1200,1201365,0.0016436614096164703
4,1200,1201382,0.0
4,1200,1201399,0.0004299503343645483
4,1200,1201406,0.0
4,1200,1201410,0.0
4,1200,1201419,2.4934026441769674e-05
4,1200,1201430,7.764717156533152e-05
4,1200,1201453,0.0
4,1200,1201469,0.0
4,1200,1201481,0.0
4,1200,1201497,0.0
4,1200,1201510,0.0
4,1200,1201525,0.0
4,1200,1201541,0.0
4,1200,1201558,0.0
4,1200,1201589,0.0
4,1200,1201606,0.0
4,1200,1201620,0.0
4,1200,1201637,0.0
4,1200,1201653,0.0
4,1200,1201671,0.0
4,1200,1201687,0.0
4,1200,1201705,0.0
4,1200,1201719,0.0
4,1200,1201735,0.0
4,1200,1201751,0.0
4,1200,1201767,0.0
4,1200,1201787,0.0
4,1200,1201805,0.0
4,1200,1201823,0.0
4,1200,1201839,0.0
4,1200,1201853,0.0
4,1200,1201867,0.0
4,1200,1201883,0.0
4,1200,1201899,0.0
4,1200,1201911,0.0
4,1200,1201923,0.0
4,1200,1201941,0.0
4,1200,1201959,0.0
4,1200,1201969,0.0
4,1200,1201977,0.0
4,1200,1201985,0.0
4,1200,1201987,0.0
4,1200,1201998,0.0
4,1200,1202011,0.0
4,1200,1202024,0.0
4,1200,1202040,0.0
4,1200,1202053,0.0
4,1200,1202067,0.0
4,1200,1202078,0.0
4,1200,1202093,0.0
4,1200,1202105,0.0
4,1200,1202118,0.0
4,1200,1202132,0.0
4,1200,1202146,0.0
4,1200,1202160,0.0
4,1200,1202172,0.0
4,1200,1202186,0.0
4,1200,1202201,0.0
4,1200,1202215,0.0
